MSC,6
記,11
貪慕虛榮,1
巴閉,4
畢業,12
徐,7
展堂,5
真人,1
城巴,3
軍火,1
haai2,2
北海集團,1
部份,9
北海,4
屬下,1
分公司,1
嘉誠,2
埋來,2
阿澤鉅,3
國傑,1
飲茶,7
高級,5
微服出巡,1
別墅,1
外面,1
花園,1
沖,8
直頭,12
廚師,3
咖啡,19
香蕉,2
月入,3
幾萬,5
年薪,4
三十萬,4
二十九萬,1
trainee,4
奀,2
費事,11
陣間,3
講出,2
無謂,6
區,5
文員,2
admin,4
Assistant,3
Admin,4
拃,9
personnel,2
Personnel,1
accounting,1
行政,2
document,1
清,3
吓吓,2
title,2
天使,2
呼喚,2
響,4
錄音,7
暑假,17
搭,27
車,47
搭去,1
荃灣,5
巴士,11
全科,1
對上,3
琴日,13
前日,1
阿艾爾頓,2
收工,4
六點,6
邪,7
架,29
駛,1
燒賣仔,1
銅鑼灣,3
join,3
攤唞,1
六點半,1
七點,8
expect,5
週,1
連續,3
雪碧,4
鳳爪,1
男朋友,6
三十九,1
露臍裝,1
難頂,4
透明,3
粒,21
碼子,2
彈,5
肚臍,2
人場,1
彎,1
人牆,1
射中,1
核突,10
袖,1
背心,1
剃,2
毛,13
得人驚,5
要求,22
但求,1
女仔,32
差不多,1
爭在,2
合眼緣,3
乞人憎,2
串,2
ei1,13
engineering,2
秘書,7
engin,3
阿head,1
AGM,3
Engineering,1
partition,1
repeat,3
one,7
more,1
time,1
main,1
point,4
公認,1
暫時,13
十九,4
冇嘢,1
來𡁵頭,1
肥屍大隻,2
fat,2
橫,1
肉,11
大大隻隻,1
身為人母,1
留意,7
Operation,1
附近,8
固定,1
散拖,1
N,1
愛滋病,1
唔通,14
特登,7
𠝹手,5
講起,1
肚餓,2
麥當勞,3
食嘢,3
尖沙嘴,3
天星,1
好眉好貌,1
見到,2
膠布,2
後面,4
笪,9
疤痕,3
一條條,2
心臟,1
物體,2
恐怖,6
埋去,1
少嫺,1
阿雪碧,1
千奇百怪,1
阿香蕉,1
影響,12
注意力,1
偏,1
搞法,1
間唔中,9
底,20
九月,10
camp,7
事宜,1
既然,1
隨時,5
夠膽,4
機票,8
載,5
俾錢,1
廿八號,3
至到,6
三十,20
師兄,2
假,17
泰國,2
團費,1
三千,15
銀,4
阿K仔,1
霸位,2
十點,4
跑,22
廿九,3
寸,7
腰,5
扎醒,1
八點,1
Columbia,1
妹,8
有領,1
T恤,1
U,21
Polo,4
憎,11
Esprit,3
事緣,1
交惡,4
和好如初,1
初,3
數字,7
攀升,1
時勢,3
過往,3
提到,1
基層,2
下層,1
中位,1
收入,1
中產人士,1
九八年,1
登記,4
職位,4
二月,3
個案,3
引伸,1
意料之外,2
當事人,1
晉升,2
䟴䟴腳,1
舉例,5
早排,5
航空,3
裁員,1
管理,2
人員,2
一來,5
年資,3
實質,3
崗位,1
工作量,1
分擔,3
按,1
比例,4
累積,3
目前,3
quali,2
大學,16
證書,4
文憑,2
擗,1
突然,5
斷,2
纜,1
斷纜,1
求職,2
推薦書,2
履歷,1
唔見,8
黃生,1
可,17
